player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Keyon Cox,174344,T,OREGON ST,2,0,0,265,,,60.0,,,,59.4,,,65.9,0,0,2,0,0,0,1,0,0
Troy Ford Jr.,174347,LB,UCF,7,2,1,323,59.8,,,,,,64.7,,,54.6,0,1,0,3,37,29,23,33,3
Hudson Gibbs,174348,CB,UCF,1,0,0,323,,,,,,,60.0,,,63.4,0,0,0,0,0,0,0,2,0
Andrew Harris,174349,ED,ARKANSAS,3,0,0,111,,,,,,,62.2,,,68.1,0,0,0,0,16,3,3,1,0
Derrick LeBlanc,174350,DI,UCF,3,0,0,323,59.6,,60.0,,,,60.4,,,66.0,0,0,2,5,0,0,0,0,0
Braeden Marshall,174351,CB,UCF,10,1,0,323,,,,,,,58.1,,,29.2,1,1,0,0,3,0,22,5,1
Isaiah Nixon,174354,ED,UCF,7,0,0,323,,,,,,,53.7,,,67.5,0,1,0,0,17,5,0,0,0
John Walker,174362,DI,UCF,9,0,0,323,57.9,,,,,,58.4,,,68.2,0,0,0,34,0,0,0,6,0
CharMar Brown,174409,HB,MIAMI FL,16,0,0,220,,,,,,,60.2,,,75.7,0,0,0,0,0,54,32,9,1
Tyrell Martin,174463,DI,E MICHIGAN,12,0,0,160,57.4,,,,,,57.9,,,73.4,0,0,0,63,0,0,0,9,0
Ebubedike Nnabugwu,174465,T,MO STATE,12,0,0,230,,,78.3,,,,65.7,,,64.3,0,0,58,0,0,0,0,0,0
Myles Parker,174574,DI,HOUSTON,9,0,0,182,59.0,,,,,,76.5,,,65.7,0,0,0,10,0,0,0,1,0
Cayman Spaulding,174579,LB,GA TECH,11,1,0,176,,,,,,,62.1,,,71.4,0,0,0,0,75,0,0,0,0
Hayden Arnold,174625,K,BAYLOR,1,0,0,118,,,,,58.3,,60.0,,,66.0,0,0,0,0,2,0,0,0,0
Brendan Bett,174627,DI,FLORIDA,11,0,0,163,58.3,,,,,,59.4,,,69.3,0,0,0,24,0,0,0,7,0
DJ Coleman,174628,S,BAYLOR,12,0,0,118,59.7,,,,,,71.6,,,76.5,0,0,0,32,62,4,27,26,2
Micah Gifford,174629,S,BAYLOR,12,1,0,118,90.4,,,,,,90.9,,,53.5,1,2,0,25,71,65,26,50,6
Caden Jenkins,174630,CB,BAYLOR,8,0,0,118,59.4,,,,,,55.1,,,29.1,0,1,0,19,5,0,0,28,0
DK Kalu,174631,DI,BAYLOR,8,0,0,118,57.5,,,,,,56.6,,,66.5,0,0,0,34,0,0,0,0,0
