player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Tyler Onyedim,144547,DI,TEXAS A&M,13,11,0,,0,1,312,0,0,61.1,71.9,84.4,65.0,73.2,66.1,3,12,0,0,,8.7,4,0,0,0.0,0,2,0,3,0,1,484,481,26,369,16,70,0,3,292,191,0,27,31,6,0,17,0,0,0,
Myles Mendeszoon,144552,ED,IOWA STATE,8,0,0,,0,0,193,0,0,60.0,68.8,76.7,66.5,64.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,36,36,0,2,25,9,0,0,23,12,0,0,0,0,0,0,0,0,0,
Jayden Gray,144555,ED,W KENTUCKY,13,3,0,,0,0,346,0,0,57.5,54.1,46.7,57.0,55.2,63.3,1,8,0,0,,10.5,2,0,1,0.0,0,1,0,0,0,1,216,215,0,30,125,60,0,1,117,98,1,11,14,3,0,10,0,0,0,
Jayson Gilliom,144572,LB,KANSAS,8,5,0,50.0,0,0,198,0,0,56.1,65.1,74.7,56.6,70.3,69.4,0,1,0,0,2,8.3,1,0,0,56.3,1,0,0,51,0,14,54,0,0,0,0,0,0,54,4,36,3,3,6,0,2,1,0,2,3,2.0
Landon Nelson,144577,S,KANSAS,2,1,0,,0,0,198,0,0,,65.2,69.4,,65.6,78.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,0,7,0,0,0,0,0,3,7,0,7,0,0,1,0,0,0,0,0,0,
Cole Mondi,144579,LB,KANSAS,1,0,0,,0,0,198,0,0,,82.5,66.1,,76.6,76.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,2,2,0,0,0,0,0,0,
D.J. Withers,144582,DI,KANSAS,12,7,0,,0,0,198,0,0,63.7,64.2,41.5,64.2,62.9,59.2,0,7,0,0,,20.8,5,0,2,0.0,0,2,0,1,0,0,421,420,26,273,31,90,0,1,214,207,0,11,12,2,0,9,0,0,0,
Tommy Dunn Jr.,144584,DI,KANSAS,12,10,0,,0,0,198,0,0,60.9,67.6,12.3,68.1,69.8,72.5,1,10,0,0,,6.3,2,0,4,0.0,0,3,0,0,0,0,406,406,173,211,2,20,0,0,217,189,0,19,20,1,0,14,0,0,0,
Cole Petrus,144585,ED,KANSAS,3,0,0,,0,0,198,0,0,,66.3,73.3,,65.0,24.9,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,1,0,0,10,9,0,0,9,0,0,1,0,10,0,0,0,0,0,0,0,0,0,
Xavier Loyd,144596,WR,MISSOURI,1,0,0,,0,0,229,0,0,,60.3,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Omar Daniels,144605,S,GA TECH,13,14,0,73.1,0,1,176,1,1,82.5,72.8,87.2,60.7,50.6,47.9,0,2,0,1,51,22.0,18,2,1,102.9,19,0,0,192,9,386,685,5,0,0,5,0,407,680,7,292,72,22,50,2,26,2,2,189,85,9.9
Desmond Purnell,144611,LB,KANSAS ST,12,12,0,62.2,0,2,199,0,0,55.6,66.1,57.2,72.6,69.2,61.8,7,7,1,2,38,14.8,12,2,1,60.6,23,4,0,614,3,301,728,22,0,0,22,0,0,706,79,348,89,36,57,6,37,18,0,260,182,11.3
Krew Jackson,144612,LB,ARIZONA ST,5,1,0,,0,0,110,0,0,65.0,70.0,75.6,68.4,65.7,61.8,0,0,0,0,,14.3,1,0,0,0.0,0,0,0,21,0,9,29,6,0,0,6,0,0,23,2,18,2,2,5,0,0,0,0,0,0,
Damian Ilalio,144614,DI,KANSAS ST,12,7,0,,0,1,199,0,0,60.0,68.2,85.5,61.4,69.0,75.5,2,7,0,0,,4.2,1,0,0,0.0,0,1,0,1,0,0,502,501,111,386,0,4,0,1,225,277,0,16,16,2,0,10,0,0,0,
Damond Harmon,144630,CB,LIBERTY,12,8,0,50.0,0,0,206,0,0,72.8,74.5,85.4,70.3,75.0,66.1,1,0,0,1,31,15.0,9,3,2,104.9,30,1,0,54,514,318,626,6,0,0,6,0,11,620,6,302,41,13,43,3,60,2,9,410,81,13.7
Clayton Smith,144631,ED,ARIZONA ST,12,6,0,,0,0,110,0,0,63.5,65.8,69.6,60.7,69.1,60.6,7,18,0,0,,20.0,4,0,1,0.0,0,4,0,23,0,10,469,446,0,10,421,15,0,23,288,171,0,12,10,2,0,29,0,0,0,
Kelvin Gilliam Jr.,144637,DI,VA TECH,12,10,0,,0,0,337,0,0,61.5,62.8,84.9,59.0,62.9,65.3,3,8,0,0,,10.3,3,0,0,0.0,0,2,0,1,0,0,400,399,149,217,3,30,0,1,215,185,0,12,16,0,0,13,0,0,0,
Latrell McCutchin Sr.,144639,CB,HOUSTON,13,11,0,51.0,0,1,182,1,0,77.7,78.2,86.5,55.2,73.4,68.9,0,0,0,0,70,13.6,9,8,4,88.4,26,1,0,37,737,428,796,3,0,0,3,0,3,793,12,356,16,15,46,2,51,1,2,377,173,14.5
Hayden Bray,144640,ED,VANDERBILT,6,1,0,,0,0,333,0,0,60.0,69.7,78.7,71.6,57.8,74.4,0,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,1,54,54,0,8,43,3,0,0,37,16,0,1,0,0,0,1,0,0,0,
Jaden Nixon,144652,HB,UCF,1,0,0,,0,0,323,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Kale Smith,144659,CB,OKLA STATE,6,3,0,73.7,0,0,262,0,0,57.4,61.1,81.8,58.3,73.9,64.4,0,0,0,1,65,16.7,4,1,2,122.6,14,0,0,28,254,145,293,2,0,0,2,0,3,291,1,147,6,5,17,1,19,0,4,189,72,13.5
Ty Williams,144660,ED,TULSA,3,1,0,,0,0,320,0,0,,70.1,69.8,,68.3,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,4,0,0,9,4,0,0,4,0,0,5,0,9,0,0,0,0,0,0,0,0,0,
