player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jordan Davis,179823,QB,VIRSTA,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,1164,0,0,65.7,62.2,69.5,61.6,,,60.0,60.0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.0,0.0,,0
Drew Buchanan,179653,K,SW BAPTIST,1,1,0,0,0.0,0,0,-14,0,0,0,0,0.0,0,0,1492,0,0,62.5,60.0,70.3,,,,60.0,,-14,0,0,0,0,1,0,0,0,1,0,-14,0,0.0,-14.0,,0
Lenard Covington,182460,WR,VA LYNCHBU,3,1,0,0,0.0,0,0,-3,0,0,0,4,0.0,0,0,406,0,0,68.5,55.6,71.0,,,56.7,59.6,59.1,-3,0,0,0,4,6,0,0,0,1,0,-3,4,4.0,-3.0,0.0,0
Jaylon West,121615,QB,MHMRTI,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,999,0,0,64.8,51.8,71.7,,,55.2,60.0,60.0,0,0,0,0,4,4,0,0,1,1,0,0,0,0.0,0.0,0.0,0
Joshua Tracey,167357,WR,PSTEAG,1,1,1,0,0.0,0,0,2,0,0,1,2,50.0,0,0,1476,0,0,71.5,73.1,77.3,,,73.5,58.9,62.0,2,0,89,3,30,29,0,0,5,4,0,2,2,2.0,2.0,2.97,0
Christian Bass,112309,TE,CARSON,1,1,0,0,0.0,0,0,3,0,0,0,2,0.0,0,1,799,0,0,62.5,68.6,65.7,,69.8,,62.7,58.4,3,0,0,0,0,3,0,0,0,1,0,3,2,2.0,3.0,,0
Thaddeus Standfield,179539,WR,EDNBFS,2,1,0,0,0.0,0,0,12,1,0,0,1,0.0,1,1,860,0,0,69.7,55.4,80.1,,,53.9,62.5,59.0,12,0,31,5,46,48,0,0,12,6,0,12,1,1.0,12.0,0.67,1
Shamon Gennes,182728,WR,LINCOK,5,1,1,0,,0,0,0,3,6,1,5,205.9,0,0,1452,1,0,35.0,54.2,85.6,,,54.1,59.5,54.9,0,0,158,16,163,114,0,0,35,17,0,0,5,5.0,0.0,0.97,0
Hasaan Williams,179242,WR,BLHLYJ,1,1,0,0,0.0,0,0,2,1,0,0,2,0.0,0,0,1227,0,0,68.3,54.1,77.2,,,55.1,57.5,56.5,2,0,50,5,33,16,0,0,8,6,0,2,2,2.0,2.0,1.52,0
Reed Martin,179520,CB,EDNBFS,1,1,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,860,0,0,62.5,60.0,0.0,,,,60.0,,-4,3,0,0,0,1,0,0,0,1,0,-4,0,0.0,-4.0,,0
Treay Taylor,179786,HB,SWMINN,1,1,0,0,,0,0,0,0,0,0,2,0.0,0,0,1108,0,1,62.5,58.4,66.1,,,59.7,59.6,60.0,0,0,0,0,1,2,0,0,0,1,0,0,2,2.0,0.0,0.0,0
Teriq Phillips,182737,WR,LINCOK,8,1,0,0,0.0,0,0,2,4,3,0,2,19.4,0,0,1452,0,0,73.0,61.3,28.9,,60.9,62.3,57.5,59.1,2,3,301,30,236,163,0,0,63,31,0,2,2,2.0,2.0,1.28,0
Mykell Campbell,182756,WR,LINCOK,5,1,0,0,,0,0,0,0,0,0,1,0.0,0,0,1452,0,0,62.5,49.9,80.3,,,50.6,60.0,56.6,0,0,0,0,45,38,0,0,1,1,0,0,1,1.0,0.0,0.0,0
Brandon Cannella,182757,CB,LINCOK,2,1,0,0,0.0,0,0,1,0,0,0,2,0.0,0,0,1452,0,1,65.9,41.3,0.0,45.7,,,59.8,60.0,1,1,0,0,0,6,0,0,0,1,0,1,2,2.0,1.0,,0
Brady Rose,178808,TE,FERRIS,2,1,0,0,0.0,0,0,7,0,0,0,3,0.0,0,0,868,0,1,66.5,63.5,0.0,,,66.6,63.3,54.0,7,1,76,4,25,27,0,0,6,5,0,7,3,3.0,7.0,3.04,0
Peter Osman,179769,WR,SWMINN,1,1,0,0,0.0,0,0,6,1,2,0,2,80.0,0,0,1108,0,0,66.5,55.3,77.6,,,56.3,57.7,60.3,6,0,30,4,23,11,0,0,6,5,0,6,2,2.0,6.0,1.3,0
Anthony Schembri,182793,P,NAUSTA,1,1,0,0,0.0,0,0,-29,0,0,0,0,0.0,0,0,1453,0,0,62.5,60.0,70.3,,,,60.0,,-29,0,0,0,0,1,0,0,0,1,0,-29,0,0.0,-29.0,,0
K.J. Franklin,104007,WR,WESTFL,2,1,0,0,0.0,0,0,10,0,0,0,2,0.0,1,0,1269,0,0,68.7,68.4,80.5,,,68.7,57.5,61.2,10,0,80,9,40,18,0,0,10,10,0,10,2,2.0,10.0,2.0,0
