player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Dennis Leggett,153141,HB,STANKN,1,-5.0,0,0.0,,0,0,1,,0,-1.24,0,1455,0,,69.7,51.7,77.9,54.1,0.0,0,1,0,35.7,5,14,1,27.3,0,42.9,6,7.1,1,0.0,1,0,0.0,0,0,0,,,0.0
Todgrick Walker,153179,TE,STANKN,1,7.0,0,0.0,,0,0,0,,0,-0.84,0,1455,0,,,46.2,65.3,48.4,81.3,13,0,0,6.3,1,16,0,31.3,0,93.8,15,18.8,3,39.6,1,0,0.0,0,0,0,,,0.0
Kyle Metiam,153238,HB,WARNER,1,-1.0,0,100.0,,0,0,0,0.0,0,-0.9,0,407,0,66.7,71.4,61.8,74.3,62.8,0.0,0,0,9,42.9,3,7,0,14.3,1,57.1,4,0.0,0,104.2,1,0,0.0,0,9,10,10.0,9.0,2.25
Stephen Ellis,154372,WR,TAYLOR,1,-1.0,0,100.0,,0,0,0,0.0,0,-1.27,0,402,0,66.7,68.9,67.6,63.9,64.6,27.3,3,0,9,9.1,1,11,0,18.2,1,90.9,10,63.6,7,104.2,1,0,9.1,1,9,10,10.0,9.0,0.9
Reid Gerig,154375,WR,TAYLOR,1,0.0,0,100.0,,0,0,0,0.0,0,-0.82,0,402,0,66.7,61.0,58.1,,57.7,0.0,0,0,6,0.0,0,6,0,16.7,1,100.0,6,0.0,0,91.7,1,0,100.0,6,6,6,6.0,6.0,1.0
William Marano,154899,HB,MITECH,1,-4.0,0,100.0,,0,0,0,0.0,0,-0.48,0,980,0,66.7,75.5,53.8,0.0,68.2,0.0,0,0,7,58.8,10,17,1,26.7,1,41.2,7,5.9,1,95.8,1,0,0.0,0,7,11,11.0,7.0,1.0
Collin Hicks,154913,WR,MITECH,1,14.0,0,0.0,,0,0,0,,0,-1.08,0,980,0,,,56.3,,56.8,0.0,0,0,0,0.0,0,6,0,0.0,0,100.0,6,0.0,0,39.6,1,0,100.0,6,0,0,,,0.0
Alec Moriarty,154924,HB,MITECH,1,2.0,0,100.0,,0,0,0,0.0,0,-0.69,1,980,0,66.7,67.8,59.4,8.4,68.4,0.0,0,0,3,41.7,5,12,0,18.2,1,58.3,7,8.3,1,79.2,1,0,0.0,0,3,1,1.0,3.0,0.43
Greg Lapetina,154940,TE,MITECH,1,0.0,0,0.0,,0,0,0,,0,-0.44,0,980,0,,,47.0,72.0,56.3,100.0,6,0,0,66.7,4,6,1,16.7,0,33.3,2,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Andrew Hayes,155452,HB,WSRAMS,1,-7.0,0,100.0,,0,0,0,0.0,0,-1.02,0,1206,0,66.7,64.3,58.5,,64.6,0.0,0,0,1,0.0,0,2,0,0.0,1,100.0,2,0.0,0,79.2,1,0,0.0,0,1,8,8.0,1.0,0.5
Noble Joyner,155465,FB,WSRAMS,1,12.0,0,0.0,,0,0,0,,0,-1.71,0,1206,0,,,56.1,31.4,55.6,40.0,2,1,0,20.0,1,5,0,25.0,0,60.0,3,0.0,0,0.0,1,0,0.0,0,0,0,,,0.0
Nehemiah Williams,155496,WR,WSRAMS,1,-4.0,0,0.0,,0,0,0,,0,-1.0,0,1206,0,,,53.9,,53.5,0.0,0,0,0,0.0,0,15,0,15.4,0,86.7,13,0.0,0,39.6,1,0,100.0,15,0,0,,,0.0
Marquez Cowins,155586,WR,TUSKEGEE,1,6.0,0,100.0,,0,0,0,0.0,0,0.24,1,405,0,66.7,61.0,55.7,,56.3,0.0,0,0,12,0.0,0,23,0,56.5,1,100.0,23,100.0,23,116.7,1,0,0.0,0,12,6,6.0,12.0,0.52
Latrevien O'Neal,155619,TE,TUSKEGEE,1,9.0,0,0.0,,0,0,0,,0,-0.33,0,405,0,,,50.6,,51.8,100.0,9,0,0,0.0,0,9,0,22.2,0,100.0,9,0.0,0,39.6,1,0,0.0,0,0,0,,,0.0
Jeydon Cox,160609,HB,CHADST,1,-6.0,0,100.0,,0,0,0,0.0,0,-0.65,0,809,0,66.7,73.6,59.3,79.8,61.7,0.0,0,0,2,45.5,5,11,0,30.0,1,54.5,6,0.0,0,79.2,1,0,0.0,0,2,8,8.0,2.0,0.33
