player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tristan Moseley,151764,G,DELTAST,1,100.0,0,841,48.6,9.8,56.1,1,1,35,100.0,100.0,94.3,0,3,1,64,0,0,0,64,36,36,64,0,28,0
Nicolas Melsop,151796,T,DELTAST,1,100.0,0,841,42.1,6.9,55.2,0,1,35,100.0,100.0,92.9,0,3,2,64,0,0,0,64,36,36,0,64,28,0
Damon Moore,151817,T,DELTAST,1,100.0,0,841,46.3,59.6,42.2,0,2,35,100.0,100.0,97.1,0,2,0,64,0,0,64,64,36,36,0,0,28,0
Innis Claud V,151760,C,DELTAST,1,100.0,0,841,44.8,45.7,50.5,0,1,35,100.0,100.0,98.6,1,1,0,64,64,0,0,64,36,36,0,0,28,0
Keshawn Jennings,151773,G,DELTAST,1,100.0,0,841,45.9,68.7,39.0,0,0,35,100.0,100.0,100.0,1,0,0,64,0,64,0,64,36,36,0,0,28,0
Fatumaleeleele Taula,155704,G,LINCOK,1,100.0,0,1452,33.6,6.9,38.8,2,2,31,100.0,100.0,90.3,0,5,1,64,0,0,0,64,33,33,64,0,31,0
Andru Rosales,155705,G,LINCOK,1,100.0,0,1452,38.9,60.4,31.0,0,3,31,100.0,100.0,95.2,0,3,0,64,0,60,0,64,33,33,0,4,31,0
Jerome Brown Jr.,155702,C,LINCOK,1,100.0,0,1452,31.4,15.6,46.1,0,1,31,100.0,100.0,91.9,1,3,2,64,64,0,0,64,33,33,0,0,31,0
Joel Galvin,155706,T,LINCOK,1,100.0,1,1452,45.9,62.1,51.4,0,2,31,100.0,100.0,93.5,2,3,1,64,0,0,64,64,33,33,0,0,31,0
Tahmaj Faust,81824,T,FRTVLY,1,100.0,0,874,51.2,61.4,38.9,0,0,48,100.0,100.0,100.0,0,0,0,63,0,0,63,63,50,50,0,0,13,0
Aundre Turner,154160,G,FRTVLY,1,100.0,0,874,37.7,9.7,44.6,1,2,48,100.0,100.0,94.8,1,4,1,63,0,0,0,63,50,50,63,0,13,0
