player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Curtis Deville,162880,WR,MCNEESE,8,52.9,0,217,51.0,,67.2,0,0,0,0.0,0.0,,2,0,0,145,0,0,0,274,0,129,0,0,145,0
Mason Kuehner,185665,WR,LAFAYETTE,12,46.3,0,203,61.3,,58.5,0,0,0,0.0,0.0,,0,0,0,145,0,0,0,313,0,167,0,0,145,0
Jake Stalsitz,172092,TE,LEHIGH,13,77.8,0,205,43.6,33.8,57.4,0,0,3,7.3,6.8,100.0,0,0,0,144,0,0,0,185,3,44,0,0,141,175
Cooper Heisey,98295,TE,MAINE,10,52.9,2,212,69.1,58.5,54.6,0,0,25,17.5,17.9,100.0,3,0,0,144,0,0,0,272,28,156,0,0,116,195
Jordyn Potts,174577,QB,TENN TECH,7,40.3,0,309,66.8,,60.0,0,0,0,0.0,0.0,,0,0,0,144,0,0,0,357,0,202,0,0,144,0
Cole Clarke,165040,TE,STHLSK,11,54.5,0,1470,43.0,73.7,47.5,0,1,12,9.9,9.8,95.8,0,1,0,144,0,0,0,264,12,123,0,0,132,169
Jaiden Ellis-Lahey,171468,WR,N IOWA,8,48.0,0,255,49.0,,52.2,0,0,0,0.0,0.0,,2,0,0,144,0,0,0,300,0,156,0,0,144,0
Kyree Benton,174457,WR,DELWARE ST,11,38.0,0,152,62.3,,58.2,0,0,0,0.0,0.0,,3,0,0,143,0,0,0,376,0,226,0,0,143,0
Zach Witte,141853,TE,S DAKOTA,14,78.1,0,291,56.0,77.2,55.5,0,0,13,26.5,25.9,100.0,1,0,0,143,0,0,4,183,14,54,0,2,129,170
Danny Valenzuela,168334,G,N ARIZONA,6,100.0,1,252,50.2,68.7,45.7,0,1,64,100.0,100.0,96.1,2,3,2,143,14,129,0,143,66,66,0,0,77,0
Seven McGee,146562,WR,ALBANY,10,28.0,0,106,70.7,,51.5,0,0,0,0.0,0.0,,3,0,0,143,0,0,0,511,0,367,0,0,143,0
Tahj Smith,173837,QB,MORGAN ST,6,44.1,0,235,58.7,,60.0,0,0,0,0.0,0.0,,1,0,0,142,0,0,0,322,0,163,0,0,142,0
Bradley Schlom,131808,WR,SAN DIEGO,10,39.0,0,283,57.6,,64.0,0,0,0,0.0,0.0,,0,0,0,142,0,0,0,364,0,222,0,0,142,0
