player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Shen Butler Lawson Jr,134539,HB,INDIANA ST,12,124,20,6,38.9,197,0,507,0,3,20,331,45.8,11,30,191,1,29,76.9,63.7,85.3,,57.6,66.2,63.0,58.1,68,0,91,10,125,168,0,0,12,134,4,507,331,2.67,4.1,0.73,91
Nick Ostmo,105623,HB,MONTANA,12,124,37,11,33.2,251,0,755,1,4,37,484,111.9,20,42,232,2,60,66.4,80.2,85.7,,65.7,54.3,85.8,63.5,62,0,156,19,194,155,0,0,26,143,3,755,484,3.9,6.1,0.8,63
Isaiah Smith,143535,HB,SAN DIEGO,11,123,29,7,26.5,179,0,676,0,1,29,422,79.2,22,29,283,2,16,65.1,66.9,31.3,,43.5,52.4,70.1,60.0,45,1,34,7,113,127,0,0,8,130,1,676,422,3.43,5.5,0.3,107
Rickey Spruill,148608,HB,WAGNER,12,123,35,8,43.3,255,0,589,2,4,35,386,85.0,12,23,338,0,42,89.0,74.6,86.1,87.3,80.8,61.9,75.5,57.6,60,0,205,21,190,154,0,0,27,144,5,589,386,3.14,4.8,1.08,81
Ty'Jarian Williams,178887,QB,MS VLY ST,12,123,26,6,26.9,137,0,479,0,0,26,366,74.5,13,36,228,8,83,50.9,60.2,87.4,49.2,,,73.6,60.0,31,0,0,0,0,301,30,10,0,113,6,509,394,3.2,4.1,,15
Darius Wilson,148492,QB,WM & MARY,12,123,35,8,20.7,157,0,330,0,0,12,158,53.6,25,45,348,3,23,61.8,80.3,89.1,74.2,65.5,63.5,73.9,60.9,53,1,6,1,7,390,427,64,1,60,9,757,359,2.92,6.2,0.86,22
Myles Miree,173833,HB,MORGAN ST,12,122,21,6,33.3,155,0,466,1,1,21,265,35.7,12,23,235,1,48,77.0,72.1,0.0,,76.2,64.1,72.9,58.0,49,2,111,12,93,148,0,0,15,134,8,466,265,2.17,3.8,1.19,73
Tommy Mellott,147646,QB,MONTANA ST,16,121,33,12,37.8,411,0,672,0,0,17,249,66.1,35,59,233,5,22,58.0,94.1,82.7,91.2,,60.0,92.3,60.1,76,4,0,0,1,555,414,41,0,80,15,1086,433,3.58,9.0,0.0,47
Damonta Witherspoon,138062,HB,SAMFORD,11,121,19,4,19.5,91,0,466,1,7,19,297,43.7,15,30,282,2,56,65.9,68.3,49.5,,68.7,70.0,66.4,74.0,33,1,129,25,206,197,0,0,29,146,6,466,297,2.45,3.9,0.63,61
Elijah Burris,153290,HB,HAMPTON,8,120,27,4,20.7,99,0,478,1,5,27,252,51.7,13,28,178,0,35,88.9,70.7,31.0,,43.8,68.6,71.5,49.7,28,1,114,10,113,159,0,0,15,130,4,478,252,2.1,4.0,1.01,84
Devontae Houston,147375,HB,E TENN ST,10,120,20,8,38.8,254,0,655,2,1,20,435,60.9,13,26,157,0,64,88.9,71.9,87.0,,53.3,45.4,75.8,64.5,80,0,23,5,107,161,0,0,10,125,3,655,435,3.63,5.5,0.21,56
