player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Charles Battaglia,178100,LB,STHLSK,12,31,0,83.3,0,0,1470,0,0,68.3,76.0,48.6,59.2,78.4,65.4,1,2,0,0,20,12.9,13,1,1,103.8,10,2,0,550,0,225,564,4,0,0,4,0,0,560,20,319,10,36,57,3,12,5,0,107,58,10.7
Brian Benson,178101,ED,STHLSK,5,2,0,,0,0,1470,0,0,,53.7,75.8,57.3,53.6,73.6,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,31,31,0,13,15,3,0,0,9,22,0,0,0,0,0,1,0,0,0,
Eric Miles,178115,S,STHLSK,1,0,0,,0,0,1470,0,0,61.1,64.5,71.8,,62.4,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,1,2,9,0,0,0,0,0,8,9,0,7,0,0,1,0,0,0,0,0,0,
Richard Mosley III,178116,CB,STHLSK,12,9,0,56.0,2,1,1470,2,1,79.2,77.5,0.0,60.9,80.0,66.9,1,1,0,2,42,13.6,11,3,9,63.3,28,1,0,64,604,335,718,42,0,0,42,0,2,676,11,372,6,26,61,2,50,3,1,294,92,10.5
Amare Smith,178120,ED,STHLSK,12,0,0,,0,0,1470,0,0,60.8,65.6,80.3,66.1,53.9,26.2,2,13,0,0,,66.7,4,0,0,0.0,0,1,0,0,0,1,85,84,0,0,76,8,0,1,73,11,1,2,2,0,0,16,0,0,0,
Elliot Spiller,178121,ED,STHLSK,12,4,0,,0,0,1470,0,0,,67.1,81.9,62.5,67.1,80.9,0,6,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,188,187,0,13,100,74,0,1,81,107,0,7,9,0,0,6,0,0,0,
Ma'Hkai Wilson,178128,LB,STHLSK,11,7,1,75.0,0,0,1470,0,0,63.6,67.9,0.0,74.9,66.9,31.4,6,2,0,1,7,27.8,10,0,1,40.6,3,0,0,186,0,81,187,1,0,0,1,0,0,186,16,90,0,10,19,1,4,8,0,15,7,5.0
Kade Boyd,178143,S,MONTANA,14,9,0,65.0,0,0,232,1,0,62.5,67.3,85.4,61.6,76.9,81.6,0,2,0,2,37,7.7,3,1,1,101.9,13,0,0,122,3,196,343,6,0,0,6,0,115,337,7,140,97,6,27,0,20,2,3,219,98,16.8
Elijah Brady,178145,CB,MONTANA,9,0,0,40.0,0,0,232,0,0,67.3,65.8,77.6,59.6,57.4,57.0,0,0,0,0,14,16.7,1,0,0,48.3,4,0,0,8,78,51,87,0,0,0,0,0,1,87,1,35,0,2,5,0,10,0,0,31,3,7.8
Hayden Opitz,178155,LB,MONTANA,4,0,0,,0,0,232,0,0,64.9,66.9,73.8,69.8,58.4,77.9,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,19,0,12,24,4,0,0,4,0,0,20,2,10,1,1,3,0,0,1,0,0,0,
Clay Oven,178156,LB,MONTANA,13,15,1,86.4,0,0,232,0,0,52.3,64.9,82.9,75.3,66.7,55.9,7,7,0,0,69,18.0,9,1,0,132.4,19,3,0,230,0,140,332,83,0,0,83,0,0,249,73,119,19,16,26,0,22,17,1,267,142,14.1
Cy Stevenson,178160,LB,MONTANA,5,2,0,100.0,0,0,232,0,0,53.1,53.0,74.8,68.5,51.9,54.6,0,1,0,1,18,16.7,1,0,0,79.2,4,0,0,28,0,23,42,12,0,0,12,0,0,30,2,17,2,1,3,1,4,1,0,55,34,13.8
Aaron Austin,178163,ED,STF AUSTIN,13,7,2,88.9,0,0,301,0,0,49.7,78.5,19.8,82.0,85.4,76.8,3,21,0,0,20,8.3,3,0,4,105.6,8,8,0,7,0,56,479,451,0,0,446,5,0,28,236,187,21,24,26,4,9,32,0,84,51,10.5
Elijah Fields,178169,DI,STF AUSTIN,14,9,0,,0,0,301,1,0,62.5,77.0,41.7,64.2,84.4,63.0,1,11,0,0,,10.7,3,0,2,0.0,0,3,0,2,0,2,426,424,17,182,3,222,0,2,229,195,0,13,16,1,0,15,0,0,0,
Joey Finley,178170,ED,STF AUSTIN,8,0,0,,0,0,301,0,0,60.2,61.3,78.0,56.0,63.5,78.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,95,95,0,3,27,65,0,0,40,53,0,6,7,0,0,1,0,0,0,
Nate Frankfather,178171,S,N DAKOTA,1,0,0,,0,0,249,0,0,60.7,70.6,68.2,,70.5,77.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,2,9,0,0,0,0,0,0,9,0,7,2,2,2,0,0,0,0,0,0,
Tyler Hutcherson,178173,CB,STF AUSTIN,1,2,0,100.0,0,0,301,0,0,59.4,60.5,0.0,59.8,75.4,81.5,0,0,0,0,11,0.0,0,0,1,101.4,3,0,0,2,0,12,29,0,0,0,0,0,2,29,1,16,25,1,2,0,3,0,0,25,34,8.3
Tim Muhammad,178182,ED,STF AUSTIN,14,3,0,100.0,0,0,301,1,0,77.8,73.3,13.5,78.3,60.5,45.0,3,15,0,0,0,27.6,8,0,3,79.2,2,5,0,4,4,22,305,295,0,0,294,1,1,10,182,101,1,17,18,3,2,23,0,0,9,0.0
Marseille Taylor,178192,CB,W CAROLINA,6,2,0,80.0,0,0,344,0,0,62.7,64.2,78.1,70.2,58.6,40.0,0,0,0,0,19,33.3,3,0,0,96.7,4,1,0,2,65,31,69,2,0,0,2,0,0,67,3,35,0,2,4,1,5,1,0,36,13,9.0
DJ Cerisier,178201,CB,DUQUESNE,12,2,0,57.6,0,1,155,0,0,77.6,73.4,83.9,53.9,51.6,65.8,0,0,0,1,56,17.2,5,7,1,110.6,19,0,0,48,442,272,506,2,0,0,2,0,0,504,4,230,14,7,22,2,33,0,4,266,108,14.0
